tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
645,12:56.9,23:42.6,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3735,W 30 St & 10 Ave,40.752694,-74.002353,32105,Subscriber,1992,1
215,12:57.3,16:32.5,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,28777,Subscriber,1960,2
331,13:21.9,18:53.6,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,34137,Subscriber,1982,2
382,13:36.5,19:58.7,3077,Stagg St & Union Ave,40.70877084,-73.95095259,3077,Stagg St & Union Ave,40.70877084,-73.95095259,39435,Subscriber,1995,1
1006,14:00.0,30:46.2,3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,15045,Subscriber,1991,1
617,14:05.2,24:22.4,312,Allen St & Stanton St,40.722055,-73.989111,254,W 11 St & 6 Ave,40.73532427,-73.99800419,28282,Subscriber,1989,1
480,14:08.5,22:08.6,150,E 2 St & Avenue C,40.7208736,-73.98085795,265,Stanton St & Chrystie St,40.72229346,-73.99147535,17664,Subscriber,1991,2
1266,14:10.6,35:17.3,168,W 18 St & 6 Ave,40.73971301,-73.99456405,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,37054,Subscriber,1993,1
429,14:12.3,21:22.1,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,40183,Subscriber,1996,1
616,14:15.1,24:32.0,483,E 12 St & 3 Ave,40.73223272,-73.98889957,388,W 26 St & 10 Ave,40.74971775,-74.00295035,37042,Subscriber,1991,1
401,14:27.8,21:09.3,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,15658,Subscriber,1992,1
187,14:38.3,17:45.3,462,W 22 St & 10 Ave,40.74691959,-74.00451887,434,9 Ave & W 18 St,40.74317449,-74.00366443,38152,Subscriber,1993,1
525,14:42.1,23:28.0,293,Lafayette St & E 8 St,40.73020661,-73.99102628,334,W 20 St & 7 Ave,40.74238787,-73.99726235,30182,Subscriber,1990,1
1534,14:44.8,40:19.7,400,Pitt St & Stanton St,40.71926081,-73.98178024,330,Reade St & Broadway,40.71450451,-74.00562789,37858,Subscriber,1975,1
1574,15:07.1,41:21.9,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3571,Bedford Ave & Bergen St,40.676368,-73.952918,39702,Subscriber,1993,1
713,15:08.5,27:01.6,2003,1 Ave & E 18 St,40.73381219,-73.98054421,265,Stanton St & Chrystie St,40.72229346,-73.99147535,16771,Subscriber,1970,1
704,15:11.1,26:55.9,3287,W 87 St & West End Ave,40.789622,-73.97757,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,28976,Customer,1969,0
465,15:19.3,23:04.9,3325,E 95 St & 3 Ave,40.7849032,-73.950503,3671,E 81 St & 2 Ave,40.77477945,-73.95427465,29190,Subscriber,1995,1
342,15:19.3,21:01.4,3749,Lexington Ave & E 36 St,40.74757396,-73.97880077,3799,6 Ave & W 34 St,40.74964,-73.98805,37401,Subscriber,1999,2
1417,15:43.1,39:20.4,3538,W 110 St & Amsterdam Ave,40.802692,-73.96295,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,34228,Customer,1999,1
1289,15:47.6,37:16.8,3538,W 110 St & Amsterdam Ave,40.802692,-73.96295,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,39147,Customer,2000,1
300,15:54.7,20:55.1,2012,E 27 St & 1 Ave,40.739445,-73.976806,491,E 24 St & Park Ave S,40.74096374,-73.98602213,15023,Subscriber,1986,1
259,15:56.4,20:16.0,3545,Broadway & W 122 St,40.8120562,-73.9612547,3649,W 129 St & Convent Ave,40.81439444,-73.95324737,40698,Subscriber,1990,1
247,15:58.8,20:06.7,406,Hicks St & Montague St,40.69512845,-73.99595065,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,37706,Subscriber,1984,1
352,16:05.5,21:57.6,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,262,Washington Park,40.6917823,-73.9737299,35174,Subscriber,1982,1
518,16:20.0,24:58.3,3440,Fulton St & Adams St,40.69241829,-73.98949474,2000,Front St & Washington St,40.70255088,-73.98940236,36086,Subscriber,1989,1
327,16:25.1,21:52.5,3812,University Pl & E 14 St,40.734814,-73.992085,3711,E 13 St & Avenue A,40.72966729,-73.98067966,40883,Subscriber,1966,1
261,16:34.3,20:55.3,502,Henry St & Grand St,40.714211,-73.981095,307,Canal St & Rutgers St,40.71427487,-73.98990025,28467,Subscriber,1978,1
137,16:43.4,19:00.7,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,119,Park Ave & St Edwards St,40.69608941,-73.97803415,31786,Subscriber,1963,1
413,16:56.4,23:49.6,3718,E 11 St & Avenue B,40.72746421,-73.97950418,461,E 20 St & 2 Ave,40.73587678,-73.98205027,15350,Subscriber,1996,2
387,17:13.1,23:40.2,247,Perry St & Bleecker St,40.73535398,-74.00483091,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,33106,Subscriber,1990,1
458,17:31.7,25:10.0,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,34417,Subscriber,1988,2
1301,17:37.5,39:19.4,3815,E 51 St & 2 Ave,40.755293,-73.967641,250,Lafayette St & Jersey St,40.72456089,-73.99565293,17795,Subscriber,1993,1
